SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -64, Beacon : 28
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 27
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -62, Beacon : 29
SSID : Hotspot (Eungyu), BSSID : 26:07:49:A5:9E:67, ch : 1 (2412MHz, 2.4GHz), PWR : -58, Beacon : 28
SSID : SS-2.4, BSSID : F8:E9:03:C1:11:B8, ch : 1 (2412MHz, 2.4GHz), PWR : -62, Beacon : 30
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 2 (2417MHz, 2.4GHz), PWR : -48, Beacon : 7
SSID : BoB_MentorR1_2G, BSSID : 04:D4:C4:51:D3:68, ch : 4 (2427MHz, 2.4GHz), PWR : -84, Beacon : 8
SSID : Taxmail_2.4G, BSSID : 70:5D:CC:28:50:02, ch : 5 (2432MHz, 2.4GHz), PWR : -74, Beacon : 1
SSID : suahnbio_Tecan, BSSID : 88:36:6C:23:E9:3C, ch : 5 (2432MHz, 2.4GHz), PWR : -76, Beacon : 1
SSID : Taxmail_2.4G, BSSID : 70:5D:CC:28:50:02, ch : 5 (2432MHz, 2.4GHz), PWR : -78, Beacon : 2
SSID : UNICORN, BSSID : C8:3A:35:43:9E:F8, ch : 6 (2437MHz, 2.4GHz), PWR : -82, Beacon : 1
SSID : Taxmail_2.4G, BSSID : 70:5D:CC:28:50:02, ch : 6 (2437MHz, 2.4GHz), PWR : -72, Beacon : 3
SSID : kjtimes, BSSID : 58:86:94:A5:2A:E6, ch : 7 (2442MHz, 2.4GHz), PWR : -60, Beacon : 1
SSID : kjtimes, BSSID : 58:86:94:A5:2A:E6, ch : 8 (2447MHz, 2.4GHz), PWR : -58, Beacon : 2
SSID : C&MDesign, BSSID : 70:5D:CC:E8:69:A6, ch : 8 (2447MHz, 2.4GHz), PWR : -62, Beacon : 1
SSID : C&MDesign, BSSID : 70:5D:CC:E8:69:A6, ch : 9 (2452MHz, 2.4GHz), PWR : -60, Beacon : 2
SSID : C&MDesign, BSSID : 70:5D:CC:E8:69:A6, ch : 10 (2457MHz, 2.4GHz), PWR : -56, Beacon : 3
SSID : C&MDesign, BSSID : 70:5D:CC:E8:69:A6, ch : 12 (2467MHz, 2.4GHz), PWR : -60, Beacon : 4
SSID : Consulting, BSSID : 00:31:92:34:5A:B3, ch : 12 (2467MHz, 2.4GHz), PWR : -66, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:CF:8C, ch : 36 (5180MHz, 5GHz), PWR : -62, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:CF:8D, ch : 36 (5180MHz, 5GHz), PWR : -62, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:CF:8E, ch : 36 (5180MHz, 5GHz), PWR : -61, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:CF:8F, ch : 36 (5180MHz, 5GHz), PWR : -61, Beacon : 1
SSID : KITRI_Mentee, BSSID : 00:FC:BA:EC:CD:8C, ch : 36 (5180MHz, 5GHz), PWR : -85, Beacon : 1
SSID : KITRI_Mentee2, BSSID : 00:FC:BA:EC:CD:8E, ch : 36 (5180MHz, 5GHz), PWR : -87, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:CF:8C, ch : 40 (5200MHz, 5GHz), PWR : -64, Beacon : 2
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:CF:8D, ch : 40 (5200MHz, 5GHz), PWR : -65, Beacon : 2
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:CF:8E, ch : 40 (5200MHz, 5GHz), PWR : -64, Beacon : 2
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:CF:8F, ch : 40 (5200MHz, 5GHz), PWR : -63, Beacon : 2
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D0:CC, ch : 40 (5200MHz, 5GHz), PWR : -45, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D0:CD, ch : 40 (5200MHz, 5GHz), PWR : -46, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D0:CE, ch : 40 (5200MHz, 5GHz), PWR : -45, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D0:CF, ch : 40 (5200MHz, 5GHz), PWR : -49, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D8:CC, ch : 40 (5200MHz, 5GHz), PWR : -47, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D8:CD, ch : 40 (5200MHz, 5GHz), PWR : -49, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D8:CE, ch : 40 (5200MHz, 5GHz), PWR : -49, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D8:CF, ch : 40 (5200MHz, 5GHz), PWR : -49, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:CF:AC, ch : 44 (5220MHz, 5GHz), PWR : -45, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:CF:AD, ch : 44 (5220MHz, 5GHz), PWR : -44, Beacon : 1
